@relation pep-seq
@attribute R NUMERIC
@attribute H NUMERIC
@attribute D NUMERIC
@attribute S NUMERIC
@attribute N NUMERIC
@attribute C NUMERIC
@attribute G NUMERIC
@attribute V NUMERIC
@attribute I NUMERIC
@attribute L NUMERIC
@attribute F NUMERIC
@attribute Y NUMERIC
@attribute toxicity {anti-toxic, neutral, toxic}
@data
0,0,2,1,1,2,1,1,0,0,0,0,anti-toxic
0,1,0,1,0,0,4,0,1,0,1,0,anti-toxic
1,0,3,0,0,1,2,0,0,0,1,0,anti-toxic
2,0,1,0,0,1,2,0,0,1,0,1,anti-toxic
0,1,0,0,2,0,2,1,1,1,0,0,anti-toxic
1,2,0,2,0,0,0,1,1,1,0,0,anti-toxic
0,0,0,0,1,1,1,3,0,1,1,0,anti-toxic
2,0,2,0,1,1,1,0,0,1,0,0,anti-toxic
0,2,1,1,1,1,0,2,0,0,0,0,anti-toxic
1,1,0,1,1,0,1,1,1,0,1,0,anti-toxic
0,1,3,1,1,0,1,1,0,0,0,0,anti-toxic
1,0,1,2,0,0,0,2,1,0,0,1,anti-toxic
0,0,2,0,0,0,2,0,2,2,0,0,anti-toxic
1,0,0,0,1,0,2,2,0,1,1,0,anti-toxic
1,1,0,1,0,1,1,1,0,1,1,0,anti-toxic
0,1,0,0,0,0,1,0,1,1,3,1,anti-toxic
1,1,0,1,1,0,1,0,2,0,1,0,anti-toxic
1,0,0,0,1,0,1,1,1,1,1,1,anti-toxic
0,0,0,1,0,0,3,3,0,0,0,1,anti-toxic
0,1,0,1,1,0,1,1,2,0,0,1,anti-toxic
0,0,1,1,3,0,0,1,1,0,1,0,anti-toxic
0,1,0,1,1,1,0,0,1,0,3,0,anti-toxic
1,0,0,0,0,2,1,1,0,0,2,1,anti-toxic
1,0,1,1,0,1,2,1,0,0,1,0,anti-toxic
0,0,2,1,0,1,1,2,0,1,0,0,anti-toxic
0,1,0,1,0,1,1,3,0,1,0,0,anti-toxic
0,0,1,1,1,2,1,1,0,0,1,0,anti-toxic
0,0,0,0,3,1,2,1,0,1,0,0,anti-toxic
0,1,0,2,1,0,0,1,0,1,2,0,anti-toxic
0,0,1,1,2,2,2,0,0,0,0,0,anti-toxic
0,0,0,1,0,2,2,1,2,0,0,0,anti-toxic
1,1,0,0,0,1,2,1,1,0,0,1,anti-toxic
2,0,1,1,0,1,0,0,3,0,0,0,anti-toxic
0,0,3,2,0,0,0,1,0,1,1,0,anti-toxic
1,1,0,3,0,0,2,0,0,0,1,0,anti-toxic
2,0,1,0,0,0,1,2,1,1,0,0,anti-toxic
1,0,2,0,1,2,2,0,0,0,0,0,anti-toxic
0,2,0,1,1,2,0,1,0,0,0,1,anti-toxic
0,0,0,1,1,0,2,2,0,2,0,0,anti-toxic
0,1,0,2,0,0,1,1,1,2,0,0,anti-toxic
1,1,0,0,0,0,2,3,1,0,0,0,anti-toxic
0,1,2,1,1,2,1,0,0,0,0,0,anti-toxic
2,0,0,0,0,2,1,2,0,0,0,1,anti-toxic
1,1,0,1,1,1,1,0,0,0,1,1,anti-toxic
2,0,1,0,2,1,0,1,0,1,0,0,anti-toxic
0,1,1,0,3,0,0,1,1,0,0,1,anti-toxic
2,1,0,0,0,1,1,0,1,0,2,0,anti-toxic
2,0,1,0,1,0,1,0,2,0,0,1,anti-toxic
1,1,0,2,0,1,0,0,0,0,3,0,anti-toxic
1,0,1,1,1,0,0,0,1,2,1,0,anti-toxic
0,0,0,0,2,1,1,3,0,0,0,1,anti-toxic
4,0,0,0,0,1,1,1,0,0,1,0,anti-toxic
0,0,1,3,0,0,1,1,1,0,1,0,anti-toxic
1,0,1,1,1,0,0,3,0,0,1,0,anti-toxic
3,1,0,0,1,1,0,1,1,0,0,0,anti-toxic
1,0,2,1,0,1,1,1,1,0,0,0,anti-toxic
1,0,0,0,3,2,0,0,1,0,0,1,anti-toxic
0,0,2,0,0,1,0,2,2,0,1,0,anti-toxic
0,1,2,0,0,0,1,2,1,0,1,0,anti-toxic
0,1,0,1,1,2,1,1,0,1,0,0,anti-toxic
0,1,0,1,0,1,0,0,0,2,1,2,anti-toxic
2,1,1,1,1,0,0,0,1,1,0,0,anti-toxic
0,1,1,0,1,0,2,2,0,0,1,0,anti-toxic
0,0,0,0,2,5,0,1,0,0,0,0,anti-toxic
0,0,0,2,0,1,0,2,1,0,0,2,anti-toxic
1,1,0,0,0,2,2,0,1,1,0,0,anti-toxic
1,0,0,0,0,1,2,2,0,0,1,1,anti-toxic
0,2,0,1,0,0,2,2,0,0,1,0,anti-toxic
2,2,1,0,1,1,0,1,0,0,0,0,anti-toxic
0,1,1,0,0,2,3,1,0,0,0,0,anti-toxic
1,0,1,0,0,1,2,1,0,2,0,0,anti-toxic
0,0,0,0,1,1,2,2,0,2,0,0,anti-toxic
0,2,2,1,0,1,0,1,1,0,0,0,anti-toxic
0,3,0,1,0,2,1,0,1,0,0,0,anti-toxic
1,1,1,0,1,0,0,0,2,1,0,1,anti-toxic
0,1,1,1,1,1,1,1,1,0,0,0,anti-toxic
2,1,1,0,0,1,2,0,0,0,1,0,anti-toxic
0,0,2,1,1,1,1,1,0,0,1,0,anti-toxic
1,0,0,1,1,1,0,3,0,0,1,0,anti-toxic
0,0,0,1,2,2,1,0,2,0,0,0,anti-toxic
0,0,1,0,0,1,0,0,0,2,3,1,anti-toxic
1,0,1,1,1,2,1,1,0,0,0,0,anti-toxic
0,0,0,1,2,1,1,2,0,0,0,1,anti-toxic
0,2,0,0,0,0,2,0,0,2,2,0,anti-toxic
1,0,1,2,0,1,1,0,1,1,0,0,anti-toxic
0,0,0,2,1,1,2,1,0,1,0,0,anti-toxic
2,0,1,0,0,2,1,0,0,2,0,0,anti-toxic
1,1,1,2,1,1,0,1,0,0,0,0,anti-toxic
0,1,0,0,0,0,2,1,4,0,0,0,anti-toxic
2,1,1,0,0,2,1,0,0,0,1,0,anti-toxic
2,1,0,1,0,1,1,0,1,0,1,0,anti-toxic
1,0,0,0,0,2,2,2,1,0,0,0,anti-toxic
0,0,1,0,2,1,1,1,1,1,0,0,anti-toxic
0,0,1,1,1,0,1,1,0,2,1,0,anti-toxic
1,0,1,0,0,1,1,2,1,1,0,0,anti-toxic
1,1,1,1,1,0,1,0,1,0,1,0,anti-toxic
1,0,1,1,0,1,1,0,1,1,1,0,anti-toxic
3,0,1,1,0,0,0,0,2,0,0,1,anti-toxic
0,2,1,0,0,1,2,1,0,1,0,0,anti-toxic
1,1,0,1,0,0,1,2,0,1,1,0,anti-toxic
3,0,1,0,0,1,1,1,0,0,1,0,anti-toxic
1,1,1,1,1,0,1,0,0,1,1,0,anti-toxic
0,0,0,0,0,1,2,0,2,0,2,1,anti-toxic
0,1,2,0,0,3,1,0,0,0,0,1,anti-toxic
1,0,2,0,0,0,2,1,0,1,0,1,anti-toxic
0,1,1,0,1,2,0,1,0,2,0,0,anti-toxic
2,1,1,1,0,2,0,1,0,0,0,0,anti-toxic
0,0,1,0,0,2,1,1,1,0,0,2,anti-toxic
0,1,0,1,2,0,0,2,0,1,1,0,anti-toxic
0,1,2,0,0,3,1,0,0,1,0,0,anti-toxic
1,1,1,1,0,0,1,2,1,0,0,0,anti-toxic
1,0,1,1,0,1,1,3,0,0,0,0,anti-toxic
2,1,0,0,0,0,2,0,0,2,1,0,anti-toxic
0,0,1,1,1,0,4,1,0,0,0,0,anti-toxic
2,2,0,0,0,1,0,1,0,1,1,0,anti-toxic
2,0,1,1,0,2,0,1,1,0,0,0,anti-toxic
1,0,0,1,1,0,1,2,1,0,1,0,anti-toxic
0,1,1,1,0,2,1,0,1,1,0,0,anti-toxic
0,1,1,0,1,1,3,1,0,0,0,0,anti-toxic
0,1,0,1,0,2,1,1,2,0,0,0,anti-toxic
2,0,0,1,0,0,1,0,2,1,0,1,anti-toxic
0,1,1,1,1,1,3,0,0,0,0,0,anti-toxic
1,1,2,0,1,2,0,0,0,1,0,0,anti-toxic
0,1,2,2,1,0,0,0,0,0,2,0,anti-toxic
0,0,0,2,1,1,1,1,0,1,0,1,anti-toxic
1,0,0,0,0,0,3,1,1,0,0,2,anti-toxic
0,0,0,0,1,2,2,1,2,0,0,0,anti-toxic
2,0,0,1,1,1,1,0,0,0,0,2,anti-toxic
0,2,1,1,0,0,0,2,0,1,1,0,anti-toxic
0,1,0,0,0,1,1,1,0,1,1,2,anti-toxic
0,1,0,0,0,1,3,0,1,2,0,0,anti-toxic
1,1,1,0,0,1,2,0,2,0,0,0,anti-toxic
0,1,0,2,3,0,1,1,0,0,0,0,anti-toxic
0,0,2,0,0,2,2,1,0,1,0,0,anti-toxic
0,2,0,2,1,0,1,1,0,1,0,0,anti-toxic
0,3,1,1,1,1,0,1,0,0,0,0,anti-toxic
3,1,0,0,1,1,1,0,0,0,0,1,anti-toxic
2,1,0,1,0,1,1,1,0,0,1,0,anti-toxic
0,1,0,2,0,1,1,1,1,0,1,0,anti-toxic
0,1,1,0,0,3,0,2,0,0,1,0,anti-toxic
1,0,0,0,0,1,2,1,1,1,1,0,anti-toxic
1,1,0,0,1,1,1,2,0,0,0,1,anti-toxic
1,0,0,1,0,0,1,2,1,0,0,2,anti-toxic
0,1,1,0,1,0,1,2,1,1,0,0,anti-toxic
1,1,0,0,0,0,3,1,0,0,1,1,anti-toxic
0,0,1,0,1,2,1,0,0,2,1,0,anti-toxic
2,0,0,2,1,0,0,0,0,1,1,1,anti-toxic
0,1,1,0,0,1,1,1,2,1,0,0,anti-toxic
1,0,0,0,0,2,1,3,0,0,1,0,anti-toxic
2,1,2,0,1,0,2,0,0,0,0,0,anti-toxic
2,0,1,1,0,0,0,1,1,0,2,0,anti-toxic
0,0,0,0,2,1,3,1,0,1,0,0,anti-toxic
1,1,0,0,0,0,3,0,2,0,0,1,anti-toxic
1,1,1,1,1,1,0,1,0,0,1,0,anti-toxic
2,0,1,1,0,1,1,1,0,0,1,0,anti-toxic
0,0,0,0,2,0,2,3,0,0,1,0,anti-toxic
0,0,2,0,1,1,2,2,0,0,0,0,anti-toxic
0,2,0,0,1,1,1,0,1,2,0,0,anti-toxic
0,0,0,1,0,1,2,1,2,1,0,0,anti-toxic
0,1,1,2,1,0,1,0,0,1,1,0,anti-toxic
1,1,1,2,0,1,0,0,1,1,0,0,anti-toxic
1,2,0,0,0,0,1,2,0,1,1,0,anti-toxic
2,0,1,0,0,1,2,0,1,0,1,0,anti-toxic
0,2,2,0,0,0,2,1,1,0,0,0,anti-toxic
2,1,0,0,0,0,1,2,0,1,1,0,anti-toxic
0,1,1,0,0,1,0,1,0,2,2,0,anti-toxic
0,0,0,1,0,1,2,2,1,0,1,0,anti-toxic
0,0,1,1,0,1,3,0,0,1,1,0,anti-toxic
0,1,1,1,1,1,1,0,1,1,0,0,anti-toxic
1,1,0,1,0,1,0,2,0,0,1,1,anti-toxic
0,0,1,2,0,1,1,1,1,1,0,0,anti-toxic
0,0,1,0,1,2,0,0,0,1,2,1,anti-toxic
0,0,1,0,2,0,2,2,0,1,0,0,anti-toxic
0,1,1,1,0,1,1,2,1,0,0,0,anti-toxic
0,2,1,1,0,1,1,0,1,1,0,0,anti-toxic
2,1,0,1,0,0,0,0,0,3,1,0,anti-toxic
0,0,0,1,1,1,2,2,0,0,0,1,anti-toxic
1,0,1,2,1,0,1,1,0,1,0,0,anti-toxic
0,2,1,2,1,0,0,0,1,0,1,0,anti-toxic
2,2,0,0,0,1,1,0,1,0,1,0,anti-toxic
1,0,0,3,0,2,1,0,1,0,0,0,anti-toxic
2,2,1,0,1,0,1,0,0,0,0,1,anti-toxic
2,0,0,0,1,2,0,0,0,2,1,0,anti-toxic
1,0,0,2,2,1,1,0,0,0,0,1,anti-toxic
3,1,0,0,1,1,0,1,0,0,1,0,anti-toxic
1,0,0,0,2,1,2,1,0,0,0,1,anti-toxic
3,1,1,0,0,1,0,1,0,1,0,0,anti-toxic
0,1,2,1,0,0,0,3,0,0,1,0,anti-toxic
0,0,0,1,1,0,2,2,1,0,1,0,anti-toxic
2,2,0,0,1,1,0,1,0,1,0,0,anti-toxic
0,1,1,2,2,1,1,0,0,0,0,0,anti-toxic
1,1,0,0,1,0,2,0,1,0,2,0,anti-toxic
2,0,1,0,0,0,1,2,1,0,0,1,anti-toxic
1,1,0,0,1,1,2,1,1,0,0,0,anti-toxic
2,2,0,0,0,1,3,0,0,0,0,0,anti-toxic
1,0,1,2,0,1,1,1,0,0,0,1,anti-toxic
1,0,1,1,0,1,2,0,0,0,0,2,anti-toxic
0,0,1,0,1,0,1,4,0,0,1,0,anti-toxic
2,0,1,0,0,2,0,2,1,0,0,0,anti-toxic
1,0,1,0,0,0,2,1,1,2,0,0,anti-toxic
1,1,0,0,1,1,0,2,0,1,0,1,anti-toxic
1,0,0,0,1,2,2,0,1,0,1,0,anti-toxic
3,0,0,0,0,1,2,1,0,1,0,0,anti-toxic
1,0,0,0,0,1,2,2,0,0,2,0,anti-toxic
0,1,2,1,1,0,1,0,1,0,1,0,anti-toxic
0,1,1,2,0,0,0,2,1,0,0,1,anti-toxic
1,0,0,1,3,0,0,2,1,0,0,0,anti-toxic
1,0,1,0,1,2,0,0,0,1,1,1,anti-toxic
0,2,1,2,0,1,1,0,0,1,0,0,anti-toxic
0,0,0,2,0,1,1,1,0,0,1,2,anti-toxic
2,0,1,0,0,0,2,0,2,1,0,0,anti-toxic
3,1,0,0,1,0,0,0,0,1,2,0,anti-toxic
0,0,1,2,0,1,0,4,0,0,0,0,anti-toxic
2,0,0,0,1,1,1,0,0,1,2,0,anti-toxic
1,0,0,1,0,1,2,2,0,0,1,0,anti-toxic
3,1,1,0,0,0,1,1,0,0,1,0,anti-toxic
1,1,1,0,0,2,1,1,0,0,0,1,anti-toxic
1,0,0,0,1,2,1,2,1,0,0,0,anti-toxic
1,0,2,0,0,1,1,2,0,1,0,0,anti-toxic
1,0,0,2,2,1,0,0,0,1,0,1,anti-toxic
2,1,0,0,0,0,1,0,1,0,3,0,anti-toxic
0,0,1,0,2,0,2,0,0,3,0,0,anti-toxic
1,0,0,1,0,1,2,3,0,0,0,0,anti-toxic
1,1,1,0,1,1,1,1,1,0,0,0,anti-toxic
1,0,1,0,0,1,3,0,1,1,0,0,anti-toxic
2,0,1,0,0,0,2,1,1,1,0,0,anti-toxic
1,0,1,0,0,2,0,0,2,1,1,0,anti-toxic
1,1,0,1,0,1,2,0,1,0,1,0,anti-toxic
2,0,0,0,0,2,0,3,0,0,0,1,anti-toxic
2,1,1,0,0,0,1,0,1,2,0,0,anti-toxic
1,1,4,0,1,1,0,0,0,0,0,0,anti-toxic
1,1,0,1,0,1,2,1,0,0,1,0,anti-toxic
0,0,0,0,1,1,2,2,0,0,1,1,anti-toxic
2,0,0,1,1,0,2,0,0,0,1,1,anti-toxic
0,0,0,1,1,0,1,3,0,1,0,1,anti-toxic
1,0,0,2,0,1,0,2,1,0,0,1,anti-toxic
0,1,0,1,1,0,3,0,1,1,0,0,anti-toxic
1,1,0,0,1,2,1,2,0,0,0,0,anti-toxic
1,0,0,0,0,1,2,2,0,1,0,1,anti-toxic
1,0,1,1,0,1,0,2,1,0,1,0,anti-toxic
0,0,1,0,0,0,2,3,0,2,0,0,anti-toxic
2,0,0,1,1,1,1,1,0,0,0,1,anti-toxic
0,2,1,0,0,2,0,0,0,1,1,1,anti-toxic
1,0,0,1,2,1,1,0,0,1,1,0,anti-toxic
1,1,0,0,1,0,1,0,3,0,1,0,anti-toxic
1,0,2,1,0,2,1,1,0,0,0,0,anti-toxic
1,1,0,1,1,1,1,1,0,0,1,0,anti-toxic
0,1,2,1,1,1,1,0,0,0,0,1,anti-toxic
0,1,2,0,1,0,0,1,0,2,1,0,anti-toxic
1,1,2,1,0,1,0,1,0,0,1,0,anti-toxic
0,2,0,1,1,2,1,1,0,0,0,0,anti-toxic
1,0,1,0,0,1,2,0,2,1,0,0,anti-toxic
1,1,0,0,0,1,1,2,1,0,0,1,anti-toxic
0,2,1,0,1,1,2,0,0,1,0,0,anti-toxic
2,1,0,0,0,0,1,1,1,0,0,2,anti-toxic
1,0,0,0,1,1,2,0,3,0,0,0,anti-toxic
1,1,0,1,0,1,1,1,1,1,0,0,anti-toxic
1,0,0,1,1,0,2,0,2,0,0,1,anti-toxic
0,0,0,1,0,2,1,0,1,1,1,1,anti-toxic
0,0,0,0,3,2,3,0,0,0,0,0,anti-toxic
2,1,1,0,0,1,1,1,0,0,1,0,anti-toxic
1,2,0,0,1,2,1,1,0,0,0,0,anti-toxic
0,1,1,0,0,3,0,2,0,0,0,1,anti-toxic
1,2,0,1,0,1,0,0,1,2,0,0,anti-toxic
1,0,1,0,0,0,1,2,1,0,0,2,anti-toxic
0,0,1,0,0,0,0,3,2,0,1,1,anti-toxic
1,1,0,1,0,2,0,1,0,1,1,0,anti-toxic
1,2,0,1,0,1,0,1,1,0,1,0,anti-toxic
2,1,0,0,0,1,0,2,0,1,0,1,anti-toxic
1,0,0,2,0,1,0,0,1,2,1,0,anti-toxic
0,0,1,0,0,0,2,3,0,2,0,0,anti-toxic
2,0,1,0,1,2,0,1,0,0,1,0,anti-toxic
0,0,1,0,1,1,1,4,0,0,0,0,anti-toxic
0,0,0,0,0,2,2,1,1,1,1,0,anti-toxic
1,1,0,0,1,1,2,0,1,0,0,1,anti-toxic
2,2,0,0,0,1,0,0,0,1,2,0,anti-toxic
1,0,1,0,0,1,5,0,0,0,0,0,anti-toxic
3,0,0,1,0,0,0,1,1,0,2,0,anti-toxic
1,0,1,1,0,1,0,2,1,1,0,0,anti-toxic
3,0,1,1,0,0,0,1,1,1,0,0,anti-toxic
3,0,0,1,1,0,1,0,2,0,0,0,anti-toxic
0,2,0,0,0,1,2,1,2,0,0,0,anti-toxic
1,0,0,1,0,1,1,2,1,0,0,1,anti-toxic
1,1,2,0,1,1,0,0,0,1,1,0,anti-toxic
1,1,1,0,0,0,0,2,0,2,0,1,anti-toxic
0,1,0,1,0,0,3,2,0,0,0,1,anti-toxic
3,0,0,0,0,0,2,1,0,0,2,0,anti-toxic
0,0,2,1,0,1,4,0,0,0,0,0,anti-toxic
2,0,0,1,0,1,2,1,1,0,0,0,anti-toxic
0,1,0,0,0,3,1,3,0,0,0,0,anti-toxic
2,0,1,0,0,1,1,1,1,0,1,0,anti-toxic
2,0,1,0,1,2,0,1,0,0,1,0,anti-toxic
0,0,0,0,2,1,2,1,0,1,1,0,anti-toxic
1,0,2,1,0,2,0,1,1,0,0,0,anti-toxic
1,0,0,1,2,1,1,1,0,0,1,0,anti-toxic
0,0,0,0,1,1,1,1,1,0,1,2,anti-toxic
0,1,1,3,0,1,1,0,0,0,0,1,anti-toxic
3,1,0,0,0,1,0,2,0,0,0,1,anti-toxic
0,2,1,1,1,1,0,1,0,1,0,0,anti-toxic
1,1,1,0,0,0,2,0,2,0,1,0,anti-toxic
1,0,1,1,1,2,0,0,0,2,0,0,anti-toxic
1,0,0,0,0,0,2,2,2,0,1,0,anti-toxic
1,1,0,2,1,1,0,0,1,0,1,0,anti-toxic
1,1,0,1,1,0,1,2,0,1,0,0,anti-toxic
1,0,0,1,0,2,1,1,1,1,0,0,anti-toxic
2,0,0,0,0,1,2,2,0,0,0,1,anti-toxic
0,1,1,0,1,2,1,1,0,0,1,0,anti-toxic
1,0,1,1,1,1,1,1,1,0,0,0,anti-toxic
2,0,3,0,1,1,0,1,0,0,0,0,anti-toxic
3,0,0,0,0,1,1,0,0,0,2,1,anti-toxic
1,0,0,1,0,0,1,3,0,1,1,0,anti-toxic
2,0,1,1,0,0,0,1,1,1,0,1,anti-toxic
1,1,0,1,1,1,0,2,1,0,0,0,anti-toxic
1,0,2,0,0,1,1,1,1,1,0,0,anti-toxic
0,1,1,2,1,0,2,1,0,0,0,0,anti-toxic
1,0,1,1,0,0,2,1,1,0,0,1,anti-toxic
1,0,1,0,1,2,1,1,1,0,0,0,anti-toxic
0,1,1,0,0,0,1,1,3,1,0,0,anti-toxic
2,0,0,0,1,2,2,0,0,1,0,0,anti-toxic
1,1,2,1,0,1,1,0,0,0,0,1,anti-toxic
0,1,0,1,1,0,2,2,0,0,1,0,anti-toxic
0,0,0,0,1,1,3,0,2,1,0,0,anti-toxic
1,1,1,1,1,1,0,0,0,1,1,0,anti-toxic
1,0,2,1,0,1,1,0,0,1,1,0,anti-toxic
1,0,1,0,1,1,1,2,0,0,1,0,anti-toxic
0,0,1,0,2,2,2,1,0,0,0,0,anti-toxic
2,0,1,1,0,0,2,1,0,0,0,1,anti-toxic
1,1,0,0,1,1,1,1,1,0,1,0,anti-toxic
1,1,0,3,0,0,1,0,0,0,1,1,anti-toxic
0,0,0,0,0,2,0,2,1,0,1,2,anti-toxic
2,1,2,0,0,1,1,0,0,1,0,0,anti-toxic
0,0,4,0,0,2,1,1,0,0,0,0,anti-toxic
0,1,0,0,1,0,1,2,2,0,1,0,anti-toxic
0,1,0,1,0,0,3,1,0,1,0,1,anti-toxic
1,0,0,1,2,0,1,0,1,0,1,1,anti-toxic
1,1,0,0,3,1,1,0,0,0,1,0,anti-toxic
0,0,0,1,0,0,2,2,0,3,0,0,anti-toxic
0,1,0,0,0,0,3,2,0,1,0,1,anti-toxic
1,2,0,1,0,0,1,2,0,0,0,1,anti-toxic
1,0,0,1,0,1,3,1,0,0,1,0,anti-toxic
1,1,1,0,0,1,0,3,1,0,0,0,anti-toxic
0,0,1,0,1,1,0,2,1,0,1,1,anti-toxic
2,0,0,0,0,1,2,0,0,2,1,0,anti-toxic
2,0,0,0,2,2,0,0,1,0,1,0,anti-toxic
4,0,0,2,0,1,0,0,0,1,0,0,anti-toxic
0,0,2,1,1,1,1,1,0,0,0,1,anti-toxic
0,1,0,1,0,1,1,1,0,0,2,1,anti-toxic
0,1,1,0,1,1,2,1,0,0,1,0,anti-toxic
0,2,1,1,0,1,2,0,0,0,1,0,anti-toxic
2,0,0,2,0,0,1,0,2,1,0,0,anti-toxic
1,1,0,1,0,0,1,3,0,1,0,0,anti-toxic
1,0,0,1,1,1,1,1,1,0,1,0,anti-toxic
1,0,0,2,1,0,0,1,0,2,1,0,anti-toxic
1,0,0,0,0,2,0,1,2,0,2,0,anti-toxic
1,0,1,0,1,1,3,0,0,0,1,0,anti-toxic
1,0,0,2,0,3,0,1,1,0,0,0,anti-toxic
0,1,0,0,0,1,3,1,1,1,0,0,anti-toxic
1,0,1,0,1,2,1,2,0,0,0,0,anti-toxic
2,0,1,0,1,1,0,2,0,0,1,0,anti-toxic
0,0,1,0,1,1,1,2,1,0,1,0,anti-toxic
2,0,0,1,1,0,0,1,0,1,2,0,anti-toxic
0,2,0,1,0,1,2,2,0,0,0,0,anti-toxic
1,0,1,2,0,1,0,1,1,0,1,0,anti-toxic
1,0,0,2,1,1,2,0,0,1,0,0,anti-toxic
1,0,2,0,2,1,1,0,0,0,0,1,anti-toxic
2,0,1,1,0,1,1,0,1,0,1,0,anti-toxic
2,1,0,0,0,0,1,1,1,2,0,0,anti-toxic
1,1,1,0,0,2,1,1,1,0,0,0,anti-toxic
1,1,1,0,0,0,3,0,0,2,0,0,anti-toxic
0,0,2,1,1,0,2,1,0,0,0,1,anti-toxic
0,1,0,2,1,1,3,0,0,0,0,0,anti-toxic
1,1,1,0,0,0,0,3,2,0,0,0,anti-toxic
0,0,1,1,1,0,1,2,0,1,1,0,anti-toxic
0,0,0,1,1,1,2,2,0,0,1,0,anti-toxic
2,0,0,0,0,1,3,0,0,1,1,0,anti-toxic
2,0,0,1,0,0,1,0,2,0,2,0,anti-toxic
1,0,0,0,1,1,1,2,0,0,1,1,anti-toxic
1,0,0,1,0,1,2,2,0,0,1,0,anti-toxic
1,0,1,1,2,1,0,0,0,1,0,1,anti-toxic
1,1,0,0,0,2,2,1,1,0,0,0,anti-toxic
0,1,0,1,1,2,3,0,0,0,0,0,anti-toxic
2,0,2,0,0,0,2,0,1,1,0,0,anti-toxic
2,0,1,0,0,1,1,0,1,2,0,0,anti-toxic
0,1,2,0,2,0,1,0,1,0,0,1,anti-toxic
2,1,0,0,1,0,0,1,1,0,1,1,anti-toxic
0,1,0,1,2,1,0,1,1,1,0,0,anti-toxic
0,2,1,0,1,1,1,1,0,1,0,0,anti-toxic
0,2,0,2,0,1,0,1,1,0,0,1,anti-toxic
0,1,0,1,0,2,2,2,0,0,0,0,anti-toxic
0,0,0,1,1,1,0,3,1,1,0,0,anti-toxic
1,2,0,0,1,0,0,0,0,2,2,0,anti-toxic
3,0,0,0,1,0,2,0,2,0,0,0,anti-toxic
1,0,1,0,1,0,1,2,0,1,1,0,anti-toxic
1,1,0,0,2,0,2,2,0,0,0,0,anti-toxic
1,2,0,0,0,1,2,1,1,0,0,0,anti-toxic
0,2,0,1,1,1,2,0,1,0,0,0,anti-toxic
1,1,1,1,1,0,1,1,0,0,1,0,anti-toxic
0,1,3,1,0,0,1,0,0,1,1,0,anti-toxic
1,1,1,0,0,1,1,1,2,0,0,0,anti-toxic
0,1,3,0,1,1,1,0,0,0,1,0,anti-toxic
0,1,1,2,0,1,1,1,0,1,0,0,anti-toxic
2,2,0,0,0,1,1,1,0,1,0,0,anti-toxic
1,0,0,1,0,1,3,1,0,1,0,0,anti-toxic
1,0,1,1,1,1,0,2,0,0,1,0,anti-toxic
0,0,1,2,0,1,0,1,1,1,1,0,anti-toxic
0,1,0,0,1,2,3,1,0,0,0,0,anti-toxic
2,0,1,1,0,2,1,1,0,0,0,0,anti-toxic
0,1,0,1,0,1,3,2,0,0,0,0,anti-toxic
0,1,0,1,1,1,0,1,2,0,1,0,anti-toxic
0,1,0,1,1,2,0,0,3,0,0,0,anti-toxic
1,0,0,0,1,2,2,2,0,0,0,0,anti-toxic
1,0,0,1,0,0,1,0,1,2,0,2,anti-toxic
2,1,0,0,0,0,1,1,1,1,1,0,anti-toxic
0,1,0,0,1,0,2,2,2,0,0,0,anti-toxic
1,1,0,1,0,0,1,1,1,0,1,1,anti-toxic
0,1,0,0,1,1,0,2,0,1,1,1,anti-toxic
0,3,0,0,0,1,1,2,1,0,0,0,anti-toxic
1,0,1,0,0,0,1,2,0,0,2,1,anti-toxic
0,1,0,2,0,0,2,1,1,1,0,0,anti-toxic
2,0,0,2,1,0,1,0,2,0,0,0,anti-toxic
1,0,1,1,0,1,1,0,0,1,1,1,anti-toxic
2,0,1,0,0,0,1,1,2,0,0,1,anti-toxic
0,1,2,0,0,0,2,1,0,1,0,1,anti-toxic
1,0,1,0,0,0,2,1,1,1,1,0,anti-toxic
1,0,1,2,0,1,1,0,2,0,0,0,anti-toxic
1,0,1,0,1,1,1,3,0,0,0,0,anti-toxic
1,1,0,0,2,1,0,1,0,2,0,0,anti-toxic
0,1,1,0,0,1,1,1,1,0,1,1,anti-toxic
0,0,1,1,0,1,2,1,0,1,1,0,anti-toxic
1,1,2,0,1,1,0,0,0,0,2,0,anti-toxic
0,1,0,2,0,0,1,1,1,0,0,2,anti-toxic
1,1,0,2,0,1,1,1,1,0,0,0,anti-toxic
0,0,3,0,0,3,1,1,0,0,0,0,anti-toxic
0,0,0,2,0,2,2,0,2,0,0,0,anti-toxic
0,1,1,2,1,1,1,1,0,0,0,0,anti-toxic
1,0,0,0,1,0,2,1,1,0,2,0,anti-toxic
2,0,0,0,0,2,2,1,0,0,1,0,anti-toxic
0,1,1,1,0,1,1,1,2,0,0,0,anti-toxic
0,1,1,0,2,0,1,2,0,0,0,1,anti-toxic
0,0,0,0,0,2,0,0,2,0,4,0,anti-toxic
1,0,0,1,1,1,0,0,0,2,2,0,anti-toxic
1,4,1,0,1,0,0,1,0,0,0,0,anti-toxic
0,0,1,0,1,0,2,2,1,1,0,0,anti-toxic
0,0,1,0,0,1,2,3,0,1,0,0,anti-toxic
1,1,0,1,1,1,0,1,0,0,1,1,anti-toxic
